pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Arménie,1,2013,Blé,2511,554000.0,93000.0,30000.0,32000.0,10000.0,389000.0,0.0
Arménie,1,2013,Orge,2513,198000.0,137000.0,14000.0,15000.0,7000.0,0.0,26000.0
Arménie,1,2013,Maïs,2514,102000.0,96000.0,0.0,7000.0,,0.0,
Arménie,1,2013,Seigle,2515,1000.0,1000.0,0.0,0.0,,0.0,
Arménie,1,2013,Avoine,2516,6000.0,4000.0,0.0,0.0,,1000.0,
Arménie,1,2013,Millet,2517,0.0,0.0,,,,,
Arménie,1,2013,Sorgho,2518,0.0,0.0,,,,,
Arménie,1,2013,"Céréales, Autres",2520,21000.0,1000.0,1000.0,1000.0,,6000.0,12000.0
Arménie,1,2013,Pommes de Terre,2531,672000.0,225000.0,123000.0,96000.0,78000.0,134000.0,16000.0
Arménie,1,2013,Manioc,2532,0.0,0.0,,,,,
Arménie,1,2013,Racines nda,2534,0.0,0.0,,,,,
Arménie,1,2013,"Sucre, betterave",2537,55000.0,1000.0,,,54000.0,,
Arménie,1,2013,Sucre Eq Brut,2542,93000.0,,,,,98000.0,0.0
Arménie,1,2013,Edulcorants Autres,2543,5000.0,,,,,5000.0,0.0
Arménie,1,2013,Haricots,2546,5000.0,5000.0,0.0,0.0,,,
Arménie,1,2013,Pois,2547,2000.0,2000.0,,,,,
Arménie,1,2013,Légumineuses Autres,2549,3000.0,3000.0,,0.0,,0.0,
Arménie,1,2013,Noix,2551,6000.0,,,0.0,,6000.0,
Arménie,1,2013,Soja,2555,0.0,0.0,,,,0.0,
Arménie,1,2013,Arachides Decortiquees,2556,1000.0,,,,,1000.0,
Arménie,1,2013,Graines de tournesol,2557,2000.0,0.0,,,2000.0,,
Arménie,1,2013,Graines Colza/Moutarde,2558,0.0,0.0,,,,0.0,
Arménie,1,2013,Coco (Incl Coprah),2560,0.0,,,,,0.0,
Arménie,1,2013,Sésame,2561,0.0,,,,,0.0,
Arménie,1,2013,Olives,2563,3000.0,,,,,3000.0,
Arménie,1,2013,"Plantes Oleiferes, Autre",2570,1000.0,1000.0,,,,0.0,
Arménie,1,2013,Huile de Soja,2571,1000.0,,,,,1000.0,
Arménie,1,2013,Huile d'Arachide,2572,0.0,,,,,0.0,
Arménie,1,2013,Huile de Tournesol,2573,30000.0,,,,,26000.0,3000.0
Arménie,1,2013,Huile de Colza&Moutarde,2574,0.0,,,,,0.0,
Arménie,1,2013,Huile Graines de Coton,2575,0.0,,,,,0.0,0.0
Arménie,1,2013,Huile de Palmistes,2576,0.0,,,,,0.0,
Arménie,1,2013,Huile de Palme,2577,1000.0,,,,,,1000.0
Arménie,1,2013,Huile de Coco,2578,1000.0,,,,,1000.0,
Arménie,1,2013,Huile de Sésame,2579,0.0,,,,,0.0,
Arménie,1,2013,Huile d'Olive,2580,0.0,,,,,0.0,0.0
Arménie,1,2013,Huile de Germe de Maïs,2582,0.0,,,,,0.0,
Arménie,1,2013,Huil Plantes Oleif Autr,2586,2000.0,,,,0.0,0.0,2000.0
Arménie,1,2013,Tomates,2601,273000.0,,,11000.0,,262000.0,
Arménie,1,2013,Oignons,2602,53000.0,,,0.0,,52000.0,
Arménie,1,2013,"Légumes, Autres",2605,764000.0,13000.0,,27000.0,,724000.0,
Arménie,1,2013,"Oranges, Mandarines",2611,14000.0,,,,,14000.0,
Arménie,1,2013,Citrons & Limes,2612,1000.0,,,,,1000.0,
Arménie,1,2013,Pamplemousse,2613,2000.0,,,,,2000.0,
Arménie,1,2013,"Agrumes, Autres",2614,1000.0,,,,,1000.0,
Arménie,1,2013,Bananes,2615,2000.0,,,,,2000.0,
Arménie,1,2013,Bananes plantains,2616,8000.0,,,,,8000.0,
Arménie,1,2013,Pommes,2617,107000.0,19000.0,,8000.0,7000.0,74000.0,
Arménie,1,2013,Ananas,2618,0.0,,,,,0.0,
Arménie,1,2013,Dattes,2619,0.0,,,,,0.0,
Arménie,1,2013,Raisin,2620,235000.0,,,12000.0,8000.0,40000.0,175000.0
Arménie,1,2013,"Fruits, Autres",2625,206000.0,,,19000.0,0.0,187000.0,
Arménie,1,2013,Café,2630,12000.0,,,,,12000.0,
Arménie,1,2013,Feve de Cacao,2633,7000.0,,,,,7000.0,
Arménie,1,2013,Thé,2635,0.0,,,,,0.0,
Arménie,1,2013,Poivre,2640,0.0,,,,,0.0,
Arménie,1,2013,Piments,2641,0.0,,,,,0.0,
Arménie,1,2013,Girofles,2642,0.0,0.0,,,,,
Arménie,1,2013,"Épices, Autres",2645,0.0,,,,,0.0,
Arménie,1,2013,Vin,2655,4000.0,,,,,4000.0,
Arménie,1,2013,Bière,2656,19000.0,,,,,19000.0,
Arménie,1,2013,Boissons Fermentés,2657,0.0,,,,,0.0,
Arménie,1,2013,Boissons Alcooliques,2658,1000.0,,,,,1000.0,
Arménie,1,2013,"Alcool, non Comestible",2659,0.0,,,,,,0.0
Arménie,1,2013,Aliments pour enfants,2680,0.0,,,,,0.0,
Arménie,1,2013,Viande de Bovins,2731,61000.0,,,,,59000.0,2000.0
Arménie,1,2013,Viande d'Ovins/Caprins,2732,9000.0,,,,,9000.0,
Arménie,1,2013,Viande de Suides,2733,31000.0,,,,,29000.0,2000.0
Arménie,1,2013,Viande de Volailles,2734,40000.0,,,,,40000.0,
Arménie,1,2013,"Viande, Autre",2735,0.0,,,,,0.0,
Arménie,1,2013,Abats Comestible,2736,17000.0,,,0.0,,14000.0,3000.0
Arménie,1,2013,Graisses Animales Crue,2737,11000.0,,,0.0,,11000.0,0.0
Arménie,1,2013,"Beurre, Ghee",2740,5000.0,,,,,5000.0,
Arménie,1,2013,Crème,2743,0.0,,,,,0.0,
Arménie,1,2013,Oeufs,2744,35000.0,,0.0,,,35000.0,0.0
Arménie,1,2013,Miel,2745,2000.0,,,,,2000.0,
