pays,code_pays,annee,population
Afghanistan,2,2013,30552000
Afrique du Sud,202,2013,52776000
Albanie,3,2013,3173000
Algérie,4,2013,39208000
Allemagne,79,2013,82727000
Angola,7,2013,21472000
Antigua-et-Barbuda,8,2013,90000
Arabie saoudite,194,2013,28829000
Argentine,9,2013,41446000
Arménie,1,2013,2977000
Australie,10,2013,23343000
Autriche,11,2013,8495000
Azerbaïdjan,52,2013,9413000
Bahamas,12,2013,377000
Bangladesh,16,2013,156595000
Barbade,14,2013,285000
Bélarus,57,2013,9357000
Belgique,255,2013,11104000
Belize,23,2013,332000
Bénin,53,2013,10323000
Bermudes,17,2013,65000
Bolivie (État plurinational de),19,2013,10671000
Bosnie-Herzégovine,80,2013,3829000
Botswana,20,2013,2021000
Brésil,21,2013,200362000
Brunéi Darussalam,26,2013,418000
Bulgarie,27,2013,7223000
Burkina Faso,233,2013,16935000
Cabo Verde,35,2013,499000
Cambodge,115,2013,15135000
Cameroun,32,2013,22254000
Canada,33,2013,35182000
Chili,40,2013,17620000
Chine,351,2013,1416667000
Chypre,50,2013,1141000
Colombie,44,2013,48321000
Congo,46,2013,4448000
Costa Rica,48,2013,4872000
Côte d'Ivoire,107,2013,20316000
Croatie,98,2013,4290000
Cuba,49,2013,11266000
Danemark,54,2013,5619000
Djibouti,72,2013,873000
Dominique,55,2013,72000
Égypte,59,2013,82056000
El Salvador,60,2013,6340000
Émirats arabes unis,225,2013,9346000
Équateur,58,2013,15738000
Espagne,203,2013,46927000
Estonie,63,2013,1287000
Eswatini,209,2013,1250000
États-Unis d'Amérique,231,2013,320051000
Éthiopie,238,2013,94101000
Fédération de Russie,185,2013,142834000
Fidji,66,2013,881000
Finlande,67,2013,5426000
France,68,2013,64291000
Gabon,74,2013,1672000
Gambie,75,2013,1849000
Géorgie,73,2013,4341000
Ghana,81,2013,25905000
Grèce,84,2013,11128000
Grenade,86,2013,106000
Guatemala,89,2013,15468000
Guinée,90,2013,11745000
Guinée-Bissau,175,2013,1704000
Guyana,91,2013,800000
Haïti,93,2013,10317000
Honduras,95,2013,8096000
Hongrie,97,2013,9955000
Îles Salomon,25,2013,561000
Inde,100,2013,1252140000
Indonésie,101,2013,249866000
Iran (République islamique d'),102,2013,77447000
Iraq,103,2013,33765000
Irlande,104,2013,4627000
Islande,99,2013,330000
Israël,105,2013,7733000
Italie,106,2013,60990000
Jamaïque,109,2013,2784000
Japon,110,2013,127144000
Jordanie,112,2013,7274000
Kazakhstan,108,2013,16441000
Kenya,114,2013,44354000
Kirghizistan,113,2013,5548000
Kiribati,83,2013,102000
Koweït,118,2013,3369000
Lesotho,122,2013,2074000
Lettonie,119,2013,2050000
Liban,121,2013,4822000
Libéria,123,2013,4294000
Lituanie,126,2013,3017000
Luxembourg,256,2013,530000
Macédoine du Nord,154,2013,2107000
Madagascar,129,2013,22925000
Malaisie,131,2013,29717000
Malawi,130,2013,16363000
Maldives,132,2013,345000
Mali,133,2013,15302000
Malte,134,2013,429000
Maroc,143,2013,33008000
Maurice,137,2013,1244000
Mauritanie,136,2013,3890000
Mexique,138,2013,122332000
Mongolie,141,2013,2839000
Monténégro,273,2013,621000
Mozambique,144,2013,25834000
Myanmar,28,2013,53259000
Namibie,147,2013,2303000
Népal,149,2013,27797000
Nicaragua,157,2013,6080000
Niger,158,2013,17831000
Nigéria,159,2013,173615000
Norvège,162,2013,5043000
Nouvelle-Calédonie,153,2013,256000
Nouvelle-Zélande,156,2013,4506000
Oman,221,2013,3632000
Ouganda,226,2013,37579000
Ouzbékistan,235,2013,28934000
Pakistan,165,2013,182143000
Panama,166,2013,3864000
Paraguay,169,2013,6802000
Pays-Bas,150,2013,16759000
Pérou,170,2013,30376000
Philippines,171,2013,98394000
Pologne,173,2013,38217000
Polynésie française,70,2013,277000
Portugal,174,2013,10608000
République centrafricaine,37,2013,4616000
République de Corée,117,2013,49263000
République de Moldova,146,2013,3487000
République démocratique populaire lao,120,2013,6770000
République dominicaine,56,2013,10404000
République populaire démocratique de Corée,116,2013,24895000
République-Unie de Tanzanie,215,2013,49253000
Roumanie,183,2013,21699000
Royaume-Uni,229,2013,63384000
Rwanda,184,2013,11777000
Sainte-Lucie,189,2013,182000
Saint-Kitts-et-Nevis,188,2013,54000
Saint-Vincent-et-les Grenadines,191,2013,109000
Samoa,244,2013,190000
Sao Tomé-et-Principe,193,2013,193000
Sénégal,195,2013,14133000
Serbie,272,2013,9511000
Sierra Leone,197,2013,6092000
Slovaquie,199,2013,5450000
Slovénie,198,2013,2072000
Soudan,276,2013,37964000
Sri Lanka,38,2013,21273000
Suède,210,2013,9571000
Suisse,211,2013,8078000
Suriname,207,2013,539000
Tadjikistan,208,2013,8208000
Tchad,39,2013,12825000
Tchéquie (la),167,2013,10702000
Thaïlande,216,2013,67011000
Timor-Leste,176,2013,1133000
Togo,217,2013,6817000
Trinité-et-Tobago,220,2013,1341000
Tunisie,222,2013,10997000
Turkménistan,213,2013,5240000
Turquie,223,2013,74933000
Ukraine,230,2013,45239000
Uruguay,234,2013,3407000
Vanuatu,155,2013,253000
Venezuela (République bolivarienne du),236,2013,30405000
Viet Nam,237,2013,91680000
Yémen,249,2013,24407000
Zambie,251,2013,14539000
Zimbabwe,181,2013,14150000
